======================================================================================================
    Date     Time  Temp SpCond   Cond    Sal   Press   Depth    pH      pH     Orp   Chl   Chl Battery
   m/d/y hh:mm:ss     C  mS/cm  uS/cm    ppt    psia    feet            mV      mV  ug/L   RFU   volts
------------------------------------------------------------------------------------------------------
10/06/19 08:35:31 15.49  0.472    386   0.23  15.932   3.453  7.92   -70.5   136.5   5.9   1.4    13.1
10/06/19 09:05:31 15.48  0.472    386   0.23  15.939   3.471  7.92   -70.6   136.7   4.8   1.1    13.2
10/06/19 09:35:31 15.47  0.472    386   0.23  15.937   3.465  7.92   -70.7   137.6   6.9   1.6    13.2
10/06/19 10:05:31 15.45  0.472    386   0.23  15.932   3.454  7.93   -71.2   135.6   9.9   2.3    13.2
10/06/19 10:35:31 15.46  0.472    386   0.23  15.933   3.457  7.93   -71.2   136.0   7.3   1.7    13.2
10/06/19 11:05:31 15.45  0.472    386   0.23  15.934   3.458  7.94   -71.4   136.7   7.0   1.7    13.1
10/06/19 11:35:31 15.46  0.472    386   0.23  15.930   3.450  7.95   -72.3   129.5   7.5   1.8    13.2
10/06/19 12:05:31 15.46  0.472    386   0.23  15.923   3.432  7.93   -71.3   137.3   8.5   2.0    13.2
10/06/19 12:35:31 15.47  0.472    386   0.23  15.917   3.420  7.94   -71.7   135.6   7.1   1.7    13.1
10/06/19 13:05:31 15.49  0.472    386   0.23  15.918   3.423  7.95   -72.3   129.2   7.5   1.8    13.2
10/06/19 13:35:31 15.49  0.472    386   0.23  15.909   3.400  7.94   -71.5   137.3   7.1   1.7    13.2
10/06/19 14:05:31 15.50  0.472    386   0.23  15.904   3.389  7.94   -71.8   137.1  10.4   2.5    13.1
10/06/19 14:35:31 15.52  0.472    386   0.23  15.900   3.380  7.96   -72.4   135.5  10.1   2.4    13.2
10/06/19 15:05:31 15.52  0.472    386   0.23  15.896   3.369  7.96   -72.8   135.4  12.3   2.9    13.2
10/06/19 15:35:31 15.52  0.471    386   0.23  15.894   3.367  7.97   -73.1   135.7   9.8   2.3    13.1
10/06/19 16:05:31 15.54  0.471    386   0.23  15.897   3.372  7.98   -73.6   134.9   9.7   2.3    13.1
10/06/19 16:35:31 15.53  0.471    386   0.23  15.898   3.374  7.98   -73.7   134.7  10.8   2.6    13.1
10/06/19 17:05:31 15.54  0.471    386   0.23  15.897   3.374  7.98   -73.7   134.8   7.8   1.8    13.1
10/06/19 17:35:31 15.53  0.471    386   0.23  15.902   3.383  7.98   -73.7   134.3   8.8   2.1    13.2
10/06/19 18:05:31 15.52  0.472    386   0.23  15.904   3.389  7.97   -73.4   134.8   6.4   1.5    13.2
10/06/19 18:35:31 15.51  0.472    386   0.23  15.901   3.383  7.98   -73.6   132.3   8.5   2.0    13.1
10/06/19 19:05:31 15.51  0.471    386   0.23  15.905   3.391  8.00   -74.5   127.7   6.1   1.4    13.1
10/06/19 19:35:31 15.51  0.471    386   0.23  15.909   3.401  7.99   -74.2   127.9   8.5   2.0    13.1
10/06/19 20:05:31 15.51  0.471    386   0.23  15.906   3.394  7.99   -74.3   127.7  13.2   3.1    13.1
10/06/19 20:35:31 15.50  0.471    386   0.23  15.906   3.394  7.99   -74.1   128.1  10.9   2.6    13.2
10/06/19 21:05:31 15.51  0.472    386   0.23  15.908   3.397  7.99   -74.0   128.0  11.1   2.6    13.1
10/06/19 21:35:31 15.50  0.472    386   0.23  15.911   3.405  7.97   -73.3   134.4   9.8   2.3    13.1
10/06/19 22:05:31 15.49  0.472    386   0.23  15.905   3.392  7.96   -72.8   134.9   8.2   1.9    13.1
10/06/19 22:35:31 15.48  0.472    386   0.23  15.904   3.388  7.96   -72.6   135.6   7.9   1.9    13.1
10/06/19 23:05:31 15.47  0.472    386   0.23  15.898   3.375  7.96   -72.6   134.8   5.4   1.3    13.1
10/06/19 23:35:31 15.48  0.472    386   0.23  15.898   3.375  7.96   -72.8   134.5   7.8   1.9    13.1
10/07/19 00:05:31 15.49  0.472    386   0.23  15.889   3.354  7.96   -72.8   134.0   8.5   2.0    13.2
10/07/19 00:35:31 15.48  0.472    386   0.23  15.884   3.342  7.96   -72.6   134.6  10.0   2.4    13.1
10/07/19 01:05:31 15.49  0.472    386   0.23  15.881   3.335  7.96   -72.5   135.3  10.3   2.4    13.1
10/07/19 01:35:31 15.48  0.472    386   0.23  15.884   3.342  7.96   -72.6   134.3   8.4   2.0    13.2
10/07/19 02:05:31 15.47  0.472    386   0.23  15.884   3.343  7.96   -72.4   134.7  10.4   2.5    13.1
10/07/19 02:35:31 15.47  0.472    386   0.23  15.896   3.370  7.95   -72.4   134.5   8.5   2.0    13.1
10/07/19 03:05:31 15.47  0.470    384   0.23  15.896   3.370  7.96   -72.6   134.5  12.5   3.0    13.2
10/07/19 03:35:31 15.47  0.469    383   0.23  15.887   3.351  7.98   -73.5   127.7   9.9   2.3    13.2
10/07/19 04:05:31 15.45  0.469    383   0.23  15.886   3.347  7.96   -72.6   135.4   6.8   1.6    13.1
10/07/19 04:35:31 15.44  0.468    383   0.23  15.892   3.362  7.96   -72.7   135.4   6.2   1.5    13.2
10/07/19 05:05:31 15.44  0.469    383   0.23  15.892   3.362  7.95   -72.1   134.6   9.6   2.3    13.1
